model,vectorization,tokenization,outlier,accuracy,f1_macro,f1_weighted
logistic,count,char,without_outliers,0.789 ± 0.001,0.478 ± 0.002,0.758 ± 0.001
logistic,count,char,with_outliers,0.786 ± 0.001,0.475 ± 0.003,0.753 ± 0.001
logistic,count,syllable,without_outliers,0.774 ± 0.000,0.429 ± 0.002,0.731 ± 0.000
logistic,count,syllable,with_outliers,0.770 ± 0.001,0.426 ± 0.002,0.725 ± 0.001
logistic,count,word,without_outliers,0.789 ± 0.001,0.470 ± 0.001,0.755 ± 0.001
logistic,count,word,with_outliers,0.785 ± 0.000,0.468 ± 0.001,0.749 ± 0.001
logistic,tfidf,char,without_outliers,0.794 ± 0.001,0.469 ± 0.002,0.759 ± 0.001
logistic,tfidf,char,with_outliers,0.791 ± 0.001,0.470 ± 0.003,0.756 ± 0.001
logistic,tfidf,syllable,without_outliers,0.780 ± 0.001,0.436 ± 0.002,0.739 ± 0.001
logistic,tfidf,syllable,with_outliers,0.777 ± 0.001,0.436 ± 0.002,0.736 ± 0.001
logistic,tfidf,word,without_outliers,0.795 ± 0.001,0.472 ± 0.002,0.761 ± 0.001
logistic,tfidf,word,with_outliers,0.792 ± 0.001,0.472 ± 0.002,0.757 ± 0.001
knn,count,char,without_outliers,0.737 ± 0.001,0.397 ± 0.001,0.702 ± 0.001
knn,count,char,with_outliers,0.733 ± 0.002,0.400 ± 0.002,0.699 ± 0.001
knn,count,syllable,without_outliers,0.720 ± 0.002,0.376 ± 0.003,0.684 ± 0.002
knn,count,syllable,with_outliers,0.716 ± 0.001,0.380 ± 0.004,0.681 ± 0.001
knn,count,word,without_outliers,0.715 ± 0.001,0.359 ± 0.003,0.671 ± 0.002
knn,count,word,with_outliers,0.709 ± 0.001,0.358 ± 0.002,0.665 ± 0.002
knn,tfidf,char,without_outliers,0.677 ± 0.001,0.270 ± 0.002,0.603 ± 0.001
knn,tfidf,char,with_outliers,0.670 ± 0.001,0.298 ± 0.001,0.614 ± 0.001
knn,tfidf,syllable,without_outliers,0.687 ± 0.001,0.303 ± 0.002,0.626 ± 0.001
knn,tfidf,syllable,with_outliers,0.690 ± 0.001,0.330 ± 0.002,0.639 ± 0.001
knn,tfidf,word,without_outliers,0.666 ± 0.003,0.277 ± 0.002,0.603 ± 0.002
knn,tfidf,word,with_outliers,0.660 ± 0.001,0.278 ± 0.002,0.596 ± 0.001
svm,count,char,without_outliers,0.600 ± 0.018,0.273 ± 0.015,0.583 ± 0.009
svm,count,char,with_outliers,0.601 ± 0.161,0.243 ± 0.022,0.556 ± 0.084
svm,count,syllable,without_outliers,0.597 ± 0.043,0.265 ± 0.009,0.577 ± 0.018
svm,count,syllable,with_outliers,0.644 ± 0.010,0.240 ± 0.012,0.576 ± 0.009
svm,count,word,without_outliers,0.591 ± 0.005,0.287 ± 0.007,0.586 ± 0.004
svm,count,word,with_outliers,0.633 ± 0.009,0.287 ± 0.007,0.599 ± 0.003
svm,tfidf,char,without_outliers,0.456 ± 0.068,0.298 ± 0.020,0.511 ± 0.052
svm,tfidf,char,with_outliers,0.364 ± 0.117,0.269 ± 0.058,0.409 ± 0.139
svm,tfidf,syllable,without_outliers,0.383 ± 0.061,0.260 ± 0.028,0.443 ± 0.062
svm,tfidf,syllable,with_outliers,0.396 ± 0.052,0.267 ± 0.021,0.454 ± 0.051
svm,tfidf,word,without_outliers,0.586 ± 0.040,0.343 ± 0.008,0.609 ± 0.026
svm,tfidf,word,with_outliers,0.501 ± 0.079,0.313 ± 0.019,0.546 ± 0.063
